REQUEST_ID,USER_ID,REQUEST_TYPE,CREATED_DATE,COMPLETED_DATE,STATUS,PRIORITY
1,4174,Payment Issue,3/14/2024,3/20/2024,Closed,Medium
2,4507,Technical Bug,4/7/2024,,Open,Medium
3,1860,Refund Request,3/3/2024,3/11/2024,Closed,Low
4,2294,Technical Bug,5/18/2024,,In Progress,Low
5,2130,Refund Request,2/17/2024,2/18/2024,Closed,Medium
6,2095,Payment Issue,4/10/2024,4/11/2024,Closed,Low
7,4772,Payment Issue,6/26/2024,7/3/2024,Closed,High
8,4092,Payment Issue,3/14/2024,3/19/2024,Closed,Medium
9,2638,Technical Bug,2/7/2024,,Open,Low
10,3169,Login Issue,5/15/2024,,Open,Low
11,1466,Technical Bug,1/6/2024,1/10/2024,Closed,Medium
12,2238,Technical Bug,3/8/2024,3/18/2024,Closed,Low
13,1330,Account Update,5/13/2024,5/23/2024,Closed,Low
14,2482,Account Update,4/20/2024,,Open,High
15,3135,Technical Bug,2/1/2024,,Open,Low
16,4444,Refund Request,2/7/2024,,Open,Medium
17,4171,Account Update,4/24/2024,,Open,Low
18,3919,Technical Bug,4/18/2024,4/25/2024,Closed,High
19,4735,Login Issue,3/4/2024,3/12/2024,Closed,Medium
20,1130,Refund Request,2/23/2024,2/24/2024,Closed,Medium
21,2685,Payment Issue,4/22/2024,4/30/2024,Closed,Medium
22,4380,Technical Bug,1/14/2024,,Open,Medium
23,1769,Technical Bug,3/4/2024,3/14/2024,Closed,Low
24,3391,Refund Request,6/26/2024,,Open,Medium
25,2515,Account Update,6/23/2024,,Open,Low
26,4485,Account Update,2/23/2024,,Open,Medium
27,3853,Account Update,1/19/2024,,In Progress,Medium
28,3433,Payment Issue,6/15/2024,6/18/2024,Closed,High
29,2215,Refund Request,5/5/2024,,In Progress,Low
30,1955,Refund Request,2/29/2024,3/1/2024,Closed,Low
31,3324,Account Update,6/9/2024,6/19/2024,Closed,High
32,2184,Account Update,2/1/2024,2/7/2024,Closed,High
33,1459,Login Issue,2/5/2024,,Open,High
34,4385,Login Issue,5/31/2024,,Open,Medium
35,1021,Technical Bug,6/19/2024,,In Progress,Low
36,3300,Technical Bug,2/15/2024,2/16/2024,Closed,High
37,1747,Refund Request,6/23/2024,,Open,Low
38,3904,Refund Request,1/14/2024,,Open,Low
39,4632,Payment Issue,6/21/2024,,In Progress,Low
40,1474,Payment Issue,6/28/2024,,In Progress,Medium
41,2082,Login Issue,4/27/2024,4/28/2024,Closed,Low
42,3558,Technical Bug,2/19/2024,,Open,Medium
43,4753,Login Issue,3/5/2024,,In Progress,Low
44,3047,Login Issue,3/17/2024,3/20/2024,Closed,Low
45,4547,Technical Bug,3/4/2024,3/11/2024,Closed,Medium
46,3747,Payment Issue,1/23/2024,2/1/2024,Closed,Low
47,1975,Technical Bug,5/4/2024,5/7/2024,Closed,High
48,2806,Account Update,3/24/2024,3/25/2024,Closed,High
49,1189,Account Update,3/10/2024,,In Progress,Low
50,4005,Account Update,3/13/2024,3/23/2024,Closed,High
51,3734,Refund Request,4/1/2024,4/8/2024,Closed,Medium
52,4005,Payment Issue,3/14/2024,,Open,Medium
53,1562,Payment Issue,6/2/2024,,Open,Medium
54,2899,Refund Request,2/13/2024,2/18/2024,Closed,High
55,4638,Login Issue,3/16/2024,3/23/2024,Closed,Low
56,2267,Account Update,5/20/2024,5/29/2024,Closed,Low
57,3879,Account Update,4/28/2024,,Open,Medium
58,2528,Login Issue,2/9/2024,,Open,Low
59,4202,Technical Bug,1/4/2024,1/9/2024,Closed,Low
60,4556,Technical Bug,5/8/2024,5/15/2024,Closed,Medium
61,4890,Payment Issue,1/6/2024,1/9/2024,Closed,High
62,1646,Refund Request,2/24/2024,2/26/2024,Closed,Low
63,3068,Payment Issue,3/6/2024,3/13/2024,Closed,Low
64,3888,Technical Bug,4/27/2024,4/29/2024,Closed,Medium
65,3214,Login Issue,5/25/2024,6/2/2024,Closed,Low
66,2297,Payment Issue,1/29/2024,,Open,High
67,3435,Account Update,2/22/2024,2/25/2024,Closed,High
68,1600,Account Update,6/9/2024,6/10/2024,Closed,High
69,3363,Login Issue,5/10/2024,,Open,Medium
70,3061,Technical Bug,5/27/2024,,In Progress,Low
71,1241,Account Update,5/11/2024,5/19/2024,Closed,Low
72,3041,Account Update,3/22/2024,3/23/2024,Closed,Medium
73,3824,Refund Request,5/15/2024,5/18/2024,Closed,High
74,4417,Payment Issue,4/14/2024,,Open,Low
75,3612,Technical Bug,3/26/2024,,Open,Low
76,3945,Payment Issue,3/23/2024,3/30/2024,Closed,High
77,2363,Technical Bug,6/4/2024,,Open,Low
78,3139,Account Update,3/13/2024,,Open,Low
79,2390,Refund Request,4/8/2024,,In Progress,High
80,4003,Payment Issue,1/26/2024,1/27/2024,Closed,Low
81,2478,Account Update,2/3/2024,,Open,Low
82,4499,Technical Bug,3/11/2024,3/16/2024,Closed,Medium
83,3556,Payment Issue,4/3/2024,4/12/2024,Closed,Medium
84,1775,Payment Issue,6/25/2024,6/29/2024,Closed,Low
85,1034,Account Update,3/29/2024,,Open,Medium
86,3253,Payment Issue,6/25/2024,7/4/2024,Closed,Medium
87,4152,Refund Request,1/27/2024,,Open,Medium
88,2955,Refund Request,2/2/2024,2/3/2024,Closed,Low
89,2585,Account Update,3/12/2024,3/22/2024,Closed,Low
90,4943,Technical Bug,2/18/2024,,Open,Medium
91,4459,Account Update,3/3/2024,,Open,Medium
92,4073,Refund Request,6/8/2024,6/14/2024,Closed,Medium
93,2021,Login Issue,1/19/2024,1/21/2024,Closed,Medium
94,4461,Login Issue,6/26/2024,,Open,Medium
95,3613,Payment Issue,1/22/2024,,Open,Low
96,2129,Payment Issue,3/30/2024,,In Progress,High
97,4843,Login Issue,3/7/2024,,Open,High
98,4893,Refund Request,5/16/2024,,In Progress,Medium
99,2500,Payment Issue,6/11/2024,,Open,Low
100,1702,Account Update,3/11/2024,,Open,Medium
101,3449,Account Update,3/19/2024,3/29/2024,Closed,Medium
102,3777,Refund Request,5/11/2024,,Open,Low
103,2579,Payment Issue,2/6/2024,,Open,Medium
104,1161,Account Update,1/28/2024,,Open,Medium
105,1201,Payment Issue,5/16/2024,,In Progress,High
106,2981,Payment Issue,2/4/2024,2/5/2024,Closed,Low
107,1995,Account Update,4/21/2024,4/26/2024,Closed,Low
108,3317,Login Issue,6/1/2024,6/2/2024,Closed,Medium
109,4934,Account Update,1/9/2024,1/19/2024,Closed,High
110,1815,Refund Request,2/21/2024,2/26/2024,Closed,Medium
111,4342,Technical Bug,5/24/2024,6/1/2024,Closed,Medium
112,1455,Account Update,1/9/2024,,Open,Low
113,4533,Payment Issue,2/23/2024,,Open,Medium
114,4798,Payment Issue,5/12/2024,,Open,High
115,2275,Account Update,5/3/2024,,Open,Medium
116,2016,Technical Bug,6/23/2024,,Open,High
117,4773,Account Update,4/18/2024,,In Progress,Medium
118,3343,Technical Bug,5/26/2024,,In Progress,High
119,4796,Technical Bug,3/6/2024,,Open,Low
120,3767,Refund Request,2/14/2024,,Open,Low
121,4820,Payment Issue,3/11/2024,,Open,Low
122,1337,Payment Issue,4/15/2024,,Open,Medium
123,1878,Technical Bug,2/2/2024,,Open,Low
124,2076,Payment Issue,4/27/2024,,In Progress,Medium
125,1791,Login Issue,3/20/2024,,Open,High
126,4993,Technical Bug,6/19/2024,,Open,Medium
127,3264,Payment Issue,3/28/2024,,Open,Low
128,1763,Login Issue,4/3/2024,,In Progress,High
129,3235,Refund Request,6/2/2024,,In Progress,Medium
130,1379,Payment Issue,2/14/2024,2/15/2024,Closed,Medium
131,1492,Login Issue,2/4/2024,2/8/2024,Closed,High
132,4112,Account Update,3/21/2024,,Open,High
133,2180,Account Update,4/11/2024,,Open,Medium
134,3062,Login Issue,1/10/2024,1/13/2024,Closed,High
135,4884,Technical Bug,2/10/2024,2/14/2024,Closed,Medium
136,1064,Technical Bug,4/23/2024,,Open,Medium
137,4928,Payment Issue,5/5/2024,5/15/2024,Closed,Medium
138,4910,Account Update,1/17/2024,1/27/2024,Closed,Medium
139,3568,Technical Bug,5/6/2024,,Open,Medium
140,2367,Technical Bug,3/11/2024,3/18/2024,Closed,Medium
141,2152,Account Update,1/11/2024,1/19/2024,Closed,Low
142,3027,Refund Request,3/3/2024,,Open,Medium
143,3695,Technical Bug,6/22/2024,6/27/2024,Closed,Medium
144,2495,Login Issue,1/20/2024,,In Progress,High
145,4134,Payment Issue,5/20/2024,,Open,Low
146,2162,Technical Bug,1/17/2024,1/25/2024,Closed,High
147,2522,Technical Bug,6/8/2024,,Open,High
148,3640,Refund Request,4/7/2024,4/13/2024,Closed,Medium
149,1391,Login Issue,3/25/2024,,In Progress,Medium
150,2698,Payment Issue,1/16/2024,1/22/2024,Closed,Medium
151,1418,Technical Bug,1/23/2024,,Open,High
152,3336,Payment Issue,5/18/2024,,In Progress,Medium
153,1378,Account Update,5/3/2024,5/5/2024,Closed,Low
154,2796,Technical Bug,5/21/2024,5/23/2024,Closed,Medium
155,4561,Technical Bug,3/11/2024,3/14/2024,Closed,Medium
156,3278,Account Update,6/21/2024,,Open,Low
157,4065,Refund Request,2/2/2024,2/9/2024,Closed,Medium
158,3088,Technical Bug,2/14/2024,2/23/2024,Closed,Low
159,4099,Payment Issue,2/20/2024,2/28/2024,Closed,Medium
160,3182,Login Issue,4/24/2024,,Open,Medium
161,1200,Payment Issue,5/3/2024,5/10/2024,Closed,High
162,2863,Refund Request,3/27/2024,,In Progress,Medium
163,1779,Login Issue,5/30/2024,,In Progress,Medium
164,3977,Payment Issue,1/29/2024,,Open,High
165,4104,Payment Issue,1/6/2024,1/9/2024,Closed,Medium
166,4119,Account Update,6/15/2024,6/22/2024,Closed,High
167,1502,Refund Request,5/12/2024,,In Progress,Low
168,3454,Account Update,4/5/2024,4/8/2024,Closed,High
169,4645,Login Issue,6/16/2024,,In Progress,Low
170,2751,Account Update,3/30/2024,,In Progress,High
171,1804,Refund Request,3/22/2024,,Open,Low
172,3146,Technical Bug,1/21/2024,1/31/2024,Closed,Low
173,3731,Technical Bug,2/28/2024,3/1/2024,Closed,Low
